,county,population,median_income,owner_occupied,renter_occupied,homeownership_rate,rental_rate
0,Alamance County,171779.0,60866.0,44487.0,22883.0,0.660338429568057,34.0
1,Alexander County,36505.0,62764.0,11180.0,2581.0,0.8124409563258485,18.8
2,Alleghany County,10989.0,42115.0,3975.0,962.0,0.805144824792384,19.5
3,Anson County,22200.0,42000.0,5572.0,2694.0,0.6740866198887007,32.6
4,Ashe County,26759.0,49176.0,9431.0,2392.0,0.7976824832952719,20.2
5,Avery County,17679.0,53513.0,5091.0,1390.0,0.7855269248572752,21.4
6,Beaufort County,44711.0,56081.0,13428.0,5544.0,0.7077798861480076,29.2
7,Bertie County,17818.0,41652.0,5233.0,1751.0,0.7492840778923253,25.1
8,Bladen County,29807.0,40476.0,7933.0,3453.0,0.6967328297909714,30.3
9,Brunswick County,139721.0,71193.0,51008.0,9907.0,0.837363539358122,16.3
10,Buncombe County,269449.0,66531.0,66276.0,36645.0,0.6439502142419914,35.6
11,Burke County,87799.0,53732.0,26786.0,8409.0,0.7610740161954823,23.9
12,Cabarrus County,226396.0,83828.0,56113.0,20767.0,0.7298777315296566,27.0
13,Caldwell County,80716.0,52362.0,23947.0,8173.0,0.7455479452054794,25.4
14,Camden County,10547.0,79120.0,3254.0,617.0,0.8406096615861535,15.9
15,Carteret County,68353.0,66965.0,22174.0,8240.0,0.7290721378312619,27.1
16,Caswell County,22747.0,56999.0,6426.0,2081.0,0.7553779240625368,24.5
17,Catawba County,161011.0,62070.0,45783.0,18659.0,0.7104528102790106,29.0
18,Chatham County,76754.0,84222.0,24849.0,6282.0,0.7982075744434808,20.2
19,Cherokee County,28868.0,49254.0,10369.0,2389.0,0.812744944348644,18.7
20,Chowan County,13835.0,51188.0,4000.0,2216.0,0.6435006435006435,35.6
21,Clay County,11186.0,57065.0,3900.0,992.0,0.7972199509403107,20.3
22,Cleveland County,99527.0,50723.0,25481.0,11086.0,0.6968304755654005,30.3
23,Columbus County,50827.0,43206.0,13577.0,5608.0,0.707688298149596,29.2
24,Craven County,101098.0,61676.0,27848.0,13156.0,0.6791532533411374,32.1
25,Cumberland County,335207.0,55551.0,66720.0,60025.0,0.5264112982760661,47.4
26,Currituck County,28616.0,82793.0,9720.0,1388.0,0.875045012603529,12.5
27,Dare County,37160.0,79742.0,12513.0,3568.0,0.7781232510416018,22.2
28,Davidson County,169498.0,58473.0,49105.0,18579.0,0.7255038118314521,27.4
29,Davie County,43030.0,69105.0,13556.0,2912.0,0.8231722127762934,17.7
30,Duplin County,49312.0,49376.0,14077.0,6212.0,0.6938242397358174,30.6
31,Durham County,325101.0,74927.0,75033.0,60436.0,0.5538757944622017,44.6
32,Edgecombe County,49067.0,46370.0,11978.0,7372.0,0.6190180878552971,38.1
33,Forsyth County,383739.0,61229.0,94800.0,58296.0,0.6192193133720019,38.1
34,Franklin County,69680.0,70493.0,20441.0,6032.0,0.77214520454803,22.8
