index,county,species,intake,adopted_out,returned_to_owner,euthanized,adoption_rate,euthanasia_rate
0,ALAMANCE,CAT,3987.0,3653.0,49.0,171.0,91.62277401555053,4.288939051918736
1,ALAMANCE,DOG,2190.0,1620.0,393.0,173.0,73.97260273972603,7.899543378995435
2,ALEXANDER,CAT,267.0,131.0,6.0,113.0,49.063670411985015,42.32209737827715
3,ALEXANDER,DOG,288.0,134.0,94.0,53.0,46.52777777777778,18.40277777777778
4,ANSON,CAT,206.0,172.0,2.0,0.0,83.49514563106796,0.0
5,ANSON,DOG,663.0,613.0,42.0,5.0,92.45852187028657,0.7541478129713424
6,ASHE,CAT,564.0,535.0,12.0,17.0,94.8581560283688,3.0141843971631204
7,ASHE,DOG,480.0,363.0,105.0,12.0,75.625,2.5
8,BEAUFORT,CAT,836.0,516.0,8.0,287.0,61.72248803827751,34.33014354066985
9,BEAUFORT,DOG,817.0,568.0,91.0,152.0,69.52264381884945,18.6046511627907
10,BERTIE,CAT,6.0,5.0,1.0,0.0,83.33333333333334,0.0
11,BERTIE,DOG,11.0,3.0,5.0,3.0,27.27272727272727,27.27272727272727
12,BLADEN,CAT,684.0,533.0,12.0,146.0,77.92397660818715,21.34502923976608
13,BLADEN,DOG,893.0,695.0,119.0,51.0,77.82754759238522,5.711086226203808
14,BRUNSWICK,CAT,2605.0,614.0,52.0,585.0,23.5700575815739,22.456813819577732
15,BRUNSWICK,DOG,1890.0,798.0,380.0,597.0,42.22222222222222,31.587301587301585
16,BUNCOMBE,CAT,2262.0,1906.0,131.0,166.0,84.26171529619806,7.338638373121132
17,BUNCOMBE,DOG,1862.0,1008.0,486.0,282.0,54.13533834586466,15.145005370569281
18,BURKE,CAT,1036.0,624.0,30.0,291.0,60.231660231660236,28.08880308880309
19,BURKE,DOG,905.0,500.0,161.0,155.0,55.24861878453039,17.12707182320442
20,CABARRUS,CAT,1458.0,789.0,30.0,634.0,54.11522633744856,43.484224965706446
21,CABARRUS,DOG,1613.0,703.0,582.0,359.0,43.583384996900186,22.256664600123994
22,CALDWELL,CAT,762.0,262.0,10.0,312.0,34.38320209973753,40.94488188976378
23,CALDWELL,DOG,807.0,256.0,120.0,348.0,31.722428748451055,43.12267657992565
24,CASWELL,CAT,445.0,337.0,1.0,130.0,75.73033707865169,29.213483146067414
25,CASWELL,DOG,440.0,416.0,43.0,44.0,94.54545454545455,10.0
26,CHATHAM,CAT,565.0,366.0,14.0,173.0,64.7787610619469,30.619469026548675
27,CHATHAM,DOG,791.0,386.0,183.0,205.0,48.79898862199747,25.9165613147914
28,CHOWAN,CAT,841.0,406.0,3.0,314.0,48.275862068965516,37.33650416171225
29,CHOWAN,DOG,526.0,246.0,76.0,271.0,46.7680608365019,51.52091254752852
30,CLEVELAND,CAT,421.0,339.0,4.0,127.0,80.52256532066508,30.16627078384798
31,CLEVELAND,DOG,722.0,558.0,83.0,118.0,77.28531855955679,16.343490304709142
32,COLUMBUS,CAT,848.0,73.0,12.0,763.0,8.608490566037736,89.97641509433963
33,COLUMBUS,DOG,1310.0,378.0,66.0,866.0,28.854961832061072,66.10687022900763
34,CRAVEN,CAT,2198.0,925.0,201.0,1034.0,42.08371246587807,47.04276615104641
35,CRAVEN,DOG,1745.0,975.0,361.0,419.0,55.873925501432666,24.011461318051573
36,CUMBERLAND,CAT,3026.0,1664.0,46.0,860.0,54.99008592200926,28.420356906807665
37,CUMBERLAND,DOG,3976.0,1889.0,510.0,594.0,47.51006036217304,14.939637826961771
38,CURRITUCK,CAT,1494.0,1015.0,177.0,239.0,67.9384203480589,15.997322623828648
39,CURRITUCK,DOG,832.0,517.0,260.0,47.0,62.13942307692307,5.649038461538462
40,DAVIDSON,CAT,1569.0,580.0,22.0,967.0,36.966220522625875,61.63161249203314
41,DAVIDSON,DOG,1777.0,759.0,346.0,672.0,42.71243669105233,37.81654473832302
42,DAVIE,CAT,434.0,273.0,8.0,154.0,62.903225806451616,35.483870967741936
43,DAVIE,DOG,421.0,199.0,114.0,157.0,47.26840855106889,37.29216152019003
44,DURHAM,CAT,1997.0,1190.0,29.0,706.0,59.58938407611417,35.35302954431647
45,DURHAM,DOG,2589.0,1301.0,457.0,780.0,50.25106218617227,30.127462340672075
46,EDGECOMBE,CAT,696.0,279.0,8.0,393.0,40.08620689655172,56.46551724137932
47,EDGECOMBE,DOG,723.0,421.0,108.0,200.0,58.229598893499315,27.662517289073307
48,FORSYTH,CAT,879.0,597.0,41.0,282.0,67.91808873720136,32.081911262798634
49,FORSYTH,DOG,1890.0,1084.0,461.0,806.0,57.354497354497354,42.645502645502646
50,FRANKLIN,CAT,1392.0,412.0,498.0,475.0,29.597701149425287,34.12356321839081
51,FRANKLIN,DOG,1000.0,538.0,258.0,222.0,53.800000000000004,22.2
52,GASTON,CAT,1375.0,1157.0,13.0,162.0,84.14545454545454,11.781818181818181
53,GASTON,DOG,1663.0,1154.0,327.0,150.0,69.39266386049309,9.019843656043296
54,GRANVILLE,CAT,1182.0,583.0,13.0,56.0,49.323181049069376,4.737732656514383
55,GRANVILLE,DOG,852.0,428.0,171.0,197.0,50.23474178403756,23.122065727699532
56,GUILFORD,CAT,2732.0,1908.0,55.0,259.0,69.8389458272328,9.480234260614933
57,GUILFORD,DOG,5109.0,2384.0,763.0,926.0,46.66275200626346,18.1248776668624
58,HARNETT,CAT,1419.0,1036.0,27.0,357.0,73.0091613812544,25.158562367864697
59,HARNETT,DOG,1222.0,805.0,127.0,255.0,65.87561374795418,20.867430441898527
60,HAYWOOD,CAT,781.0,682.0,17.0,45.0,87.32394366197182,5.761843790012804
61,HAYWOOD,DOG,705.0,442.0,214.0,51.0,62.69503546099291,7.234042553191489
62,JACKSON,CAT,422.0,122.0,6.0,145.0,28.90995260663507,34.360189573459714
63,JACKSON,DOG,546.0,98.0,85.0,39.0,17.94871794871795,7.142857142857142
64,JOHNSTON,CAT,2396.0,366.0,58.0,1980.0,15.275459098497496,82.63772954924875
65,JOHNSTON,DOG,1695.0,606.0,374.0,739.0,35.75221238938053,43.59882005899705
66,LENOIR,CAT,523.0,231.0,2.0,213.0,44.168260038240916,40.72657743785851
67,LENOIR,DOG,851.0,361.0,80.0,168.0,42.42068155111633,19.741480611045827
68,LINCOLN,CAT,966.0,911.0,32.0,19.0,94.30641821946169,1.9668737060041408
69,LINCOLN,DOG,777.0,605.0,147.0,26.0,77.86357786357786,3.346203346203346
70,MACON,DOG,753.0,162.0,200.0,29.0,21.51394422310757,3.851261620185923
71,MADISON,CAT,277.0,208.0,10.0,14.0,75.09025270758123,5.054151624548736
72,MADISON,DOG,308.0,207.0,41.0,26.0,67.20779220779221,8.441558441558442
73,MARTIN,CAT,178.0,35.0,8.0,137.0,19.662921348314608,76.96629213483146
74,MARTIN,DOG,236.0,74.0,31.0,127.0,31.35593220338983,53.813559322033896
75,MCDOWELL,CAT,494.0,336.0,1.0,36.0,68.0161943319838,7.28744939271255
76,MCDOWELL,DOG,553.0,112.0,126.0,66.0,20.253164556962027,11.934900542495479
77,MECKLENBURG,CAT,3145.0,2188.0,92.0,437.0,69.57074721780604,13.895071542130367
78,MECKLENBURG,DOG,5668.0,2536.0,1235.0,1025.0,44.742413549753,18.083980239943543
79,MONTGOMERY,CAT,184.0,60.0,3.0,28.0,32.608695652173914,15.217391304347828
