county,intake,adjusted_intake,adopted_out,returned_to_owner,euthanized,adoption_rate,euthanasia_rate,owner_occupied,renter_occupied,homeownership_rate,rental_rate,total_population,poverty_rate,median_income,snap_percent,health_insurance_percent,uninsured_percent,percent_bachelors_or_higher,unemployment_rate
ALAMANCE,6177.0,5735.0,5273.0,442.0,344.0,91.94420226678292,5.9982563208369655,44487.0,22883.0,0.660338429568057,34.0,171779,14.2,60866,10.5,90.3,9.700000000000005,27.3,5.0
ALEXANDER,555.0,455.0,265.0,100.0,166.0,58.24175824175825,36.48351648351648,11180.0,2581.0,0.8124409563258485,18.8,36505,12.2,62764,8.1,90.9,9.099999999999994,15.3,5.6
ANSON,869.0,825.0,785.0,44.0,5.0,95.15151515151516,0.6060606060606061,5572.0,2694.0,0.6740866198887007,32.6,22200,19.3,42000,14.8,87.0,13.0,11.4,6.4
ASHE,1044.0,927.0,898.0,117.0,29.0,96.87162891046384,3.128371089536138,9431.0,2392.0,0.7976824832952719,20.2,26759,14.1,49176,10.1,89.0,11.0,20.8,5.1
BEAUFORT,1653.0,1554.0,1084.0,99.0,439.0,69.75546975546976,28.24967824967825,13428.0,5544.0,0.7077798861480076,29.2,44711,17.1,56081,12.2,88.7,11.299999999999995,19.5,5.6
BERTIE,17.0,11.0,8.0,6.0,3.0,72.72727272727273,27.27272727272727,5233.0,1751.0,0.7492840778923253,25.1,17818,21.4,41652,15.4,88.1,11.900000000000006,16.6,6.4
BLADEN,1577.0,1446.0,1228.0,131.0,197.0,84.92392807745505,13.623789764868604,7933.0,3453.0,0.6967328297909714,30.3,29807,24.4,40476,20.5,90.0,10.0,20.3,5.5
BRUNSWICK,4495.0,4063.0,1412.0,432.0,1182.0,34.75264582820576,29.091804085650995,51008.0,9907.0,0.837363539358122,16.3,139721,9.1,71193,5.9,91.2,8.799999999999997,32.4,5.0
BUNCOMBE,4124.0,3507.0,2914.0,617.0,448.0,83.09096093527232,12.77445109780439,66276.0,36645.0,0.6439502142419914,35.6,269449,11.2,66531,6.7,88.7,11.299999999999995,43.0,3.6
BURKE,1941.0,1750.0,1124.0,191.0,446.0,64.22857142857143,25.485714285714284,26786.0,8409.0,0.7610740161954823,23.9,87799,17.0,53732,12.5,89.2,10.799999999999995,19.8,6.0
CABARRUS,3071.0,2459.0,1492.0,612.0,993.0,60.67507116714111,40.382269215128105,56113.0,20767.0,0.7298777315296566,27.0,226396,8.4,83828,6.1,92.0,8.0,36.5,4.9
CALDWELL,1569.0,1439.0,518.0,130.0,660.0,35.997220291869354,45.865184155663655,23947.0,8173.0,0.7455479452054794,25.4,80716,13.3,52362,10.6,88.7,11.299999999999995,17.2,5.8
CASWELL,885.0,841.0,753.0,44.0,174.0,89.53626634958383,20.689655172413797,6426.0,2081.0,0.7553779240625368,24.5,22747,15.4,56999,11.7,90.1,9.900000000000006,15.4,6.0
CHATHAM,1356.0,1159.0,752.0,197.0,378.0,64.88352027610009,32.61432269197584,24849.0,6282.0,0.7982075744434808,20.2,76754,10.4,84222,8.0,91.2,8.799999999999997,46.5,2.8
CHOWAN,1367.0,1288.0,652.0,79.0,585.0,50.621118012422365,45.41925465838509,4000.0,2216.0,0.6435006435006435,35.6,13835,20.9,51188,17.6,93.4,6.599999999999994,24.2,4.3
CLEVELAND,1143.0,1056.0,897.0,87.0,245.0,84.94318181818183,23.20075757575757,25481.0,11086.0,0.6968304755654005,30.3,99527,18.4,50723,14.2,88.8,11.200000000000005,19.4,6.4
COLUMBUS,2158.0,2080.0,451.0,78.0,1629.0,21.682692307692307,78.3173076923077,13577.0,5608.0,0.707688298149596,29.2,50827,21.1,43206,18.1,85.8,14.200000000000005,14.5,5.8
CRAVEN,3943.0,3381.0,1900.0,562.0,1453.0,56.19639160011831,42.97545104998521,27848.0,13156.0,0.6791532533411374,32.1,101098,14.0,61676,10.5,90.8,9.200000000000005,25.7,5.1
CUMBERLAND,7002.0,6446.0,3553.0,556.0,1454.0,55.11945392491467,22.556624263108905,66720.0,60025.0,0.5264112982760661,47.4,335207,17.6,55551,14.1,89.2,10.799999999999995,26.9,7.9
CURRITUCK,2326.0,1889.0,1532.0,437.0,286.0,81.1011116993118,15.14028586553732,9720.0,1388.0,0.875045012603529,12.5,28616,8.5,82793,6.8,88.8,11.200000000000005,27.1,3.2
DAVIDSON,3346.0,2978.0,1339.0,368.0,1639.0,44.96306245802552,55.03693754197448,49105.0,18579.0,0.7255038118314521,27.4,169498,13.9,58473,10.8,89.1,10.900000000000006,20.5,4.3
DAVIE,855.0,733.0,472.0,122.0,311.0,64.39290586630287,42.42837653478854,13556.0,2912.0,0.8231722127762934,17.7,43030,11.6,69105,9.5,89.8,10.200000000000005,26.2,4.6
DURHAM,4586.0,4100.0,2491.0,486.0,1486.0,60.75609756097561,36.24390243902439,75033.0,60436.0,0.5538757944622017,44.6,325101,12.3,74927,8.0,88.6,11.400000000000006,51.9,4.3
EDGECOMBE,1419.0,1303.0,700.0,116.0,593.0,53.72217958557176,45.51036070606293,11978.0,7372.0,0.6190180878552971,38.1,49067,22.0,46370,19.2,88.4,11.599999999999994,17.7,8.6
