county_name,state,county,total_population,population_poverty_determined,population_in_poverty,poverty_rate,median_income,snap_percent
"Alamance County, North Carolina",37,001,171779,167137,23763,14.2,60866,10.5
"Alexander County, North Carolina",37,003,36505,35063,4295,12.2,62764,8.1
"Alleghany County, North Carolina",37,005,10989,10880,2127,19.5,42115,12.0
"Anson County, North Carolina",37,007,22200,20225,3913,19.3,42000,14.8
"Ashe County, North Carolina",37,009,26759,26450,3734,14.1,49176,10.1
"Avery County, North Carolina",37,011,17679,14732,1653,11.2,53513,8.2
"Beaufort County, North Carolina",37,013,44711,44126,7524,17.1,56081,12.2
"Bertie County, North Carolina",37,015,17818,16344,3500,21.4,41652,15.4
"Bladen County, North Carolina",37,017,29807,29436,7188,24.4,40476,20.5
"Brunswick County, North Carolina",37,019,139721,138584,12578,9.1,71193,5.9
"Buncombe County, North Carolina",37,021,269449,262724,29543,11.2,66531,6.7
"Burke County, North Carolina",37,023,87799,85261,14453,17.0,53732,12.5
"Cabarrus County, North Carolina",37,025,226396,224288,18865,8.4,83828,6.1
"Caldwell County, North Carolina",37,027,80716,79612,10551,13.3,52362,10.6
"Camden County, North Carolina",37,029,10547,10537,619,5.9,79120,5.8
"Carteret County, North Carolina",37,031,68353,67122,6489,9.7,66965,6.2
"Caswell County, North Carolina",37,033,22747,21297,3288,15.4,56999,11.7
"Catawba County, North Carolina",37,035,161011,157959,20605,13.0,62070,9.3
"Chatham County, North Carolina",37,037,76754,75883,7877,10.4,84222,8.0
"Cherokee County, North Carolina",37,039,28868,28502,4770,16.7,49254,12.0
"Chowan County, North Carolina",37,041,13835,13591,2837,20.9,51188,17.6
"Clay County, North Carolina",37,043,11186,11073,1493,13.5,57065,7.7
"Cleveland County, North Carolina",37,045,99527,97521,17926,18.4,50723,14.2
"Columbus County, North Carolina",37,047,50827,48119,10149,21.1,43206,18.1
"Craven County, North Carolina",37,049,101098,96165,13507,14.0,61676,10.5
"Cumberland County, North Carolina",37,051,335207,318270,55872,17.6,55551,14.1
"Currituck County, North Carolina",37,053,28616,28433,2409,8.5,82793,6.8
"Dare County, North Carolina",37,055,37160,36986,2398,6.5,79742,3.7
"Davidson County, North Carolina",37,057,169498,167555,23343,13.9,58473,10.8
"Davie County, North Carolina",37,059,43030,42701,4958,11.6,69105,9.5
"Duplin County, North Carolina",37,061,49312,48722,9024,18.5,49376,14.1
"Durham County, North Carolina",37,063,325101,311331,38202,12.3,74927,8.0
"Edgecombe County, North Carolina",37,065,49067,48331,10652,22.0,46370,19.2
"Forsyth County, North Carolina",37,067,383739,373308,56760,15.2,61229,10.3
"Franklin County, North Carolina",37,069,69680,68183,6614,9.7,70493,7.1
"Gaston County, North Carolina",37,071,228972,225050,27965,12.4,62628,8.6
"Gates County, North Carolina",37,073,10509,10355,1482,14.3,55750,10.8
"Graham County, North Carolina",37,075,8047,7911,894,11.3,46010,10.2
"Granville County, North Carolina",37,077,61161,57408,8245,14.4,68079,11.3
"Greene County, North Carolina",37,079,20407,17790,4016,22.6,50320,16.4
"Guilford County, North Carolina",37,081,539557,517959,78085,15.1,62880,10.9
"Halifax County, North Carolina",37,083,48772,47554,11347,23.9,41629,20.3
"Harnett County, North Carolina",37,085,134718,131384,18893,14.4,64992,10.9
"Haywood County, North Carolina",37,087,62152,61405,7440,12.1,56596,9.2
"Henderson County, North Carolina",37,089,116469,115037,13087,11.4,65508,8.6
"Hertford County, North Carolina",37,091,21633,19513,3959,20.3,46196,12.8
"Hoke County, North Carolina",37,093,52612,51151,8840,17.3,57141,12.8
"Hyde County, North Carolina",37,095,4636,4042,1209,29.9,43724,25.6
"Iredell County, North Carolina",37,097,187839,185782,17505,9.4,73103,7.6
"Jackson County, North Carolina",37,099,42388,38643,7476,19.3,51482,11.1
"Johnston County, North Carolina",37,101,219042,216578,23185,10.7,75288,7.4
"Jones County, North Carolina",37,103,9263,9158,1622,17.7,53053,14.4
"Lee County, North Carolina",37,105,63560,62138,9934,16.0,60941,13.3
"Lenoir County, North Carolina",37,107,55071,53939,12093,22.4,43063,18.9
"Lincoln County, North Carolina",37,109,87933,87000,8062,9.3,75672,7.1
"McDowell County, North Carolina",37,111,44629,43266,6463,14.9,53532,9.9
"Macon County, North Carolina",37,113,37088,36699,5661,15.4,51042,9.6
"Madison County, North Carolina",37,115,21414,20527,2566,12.5,56664,7.9
"Martin County, North Carolina",37,117,21992,21573,4425,20.5,44799,17.0
"Mecklenburg County, North Carolina",37,119,1115403,1098264,115796,10.5,79265,7.6
"Mitchell County, North Carolina",37,121,14989,14621,1959,13.4,55534,8.1
"Montgomery County, North Carolina",37,123,25839,24932,4035,16.2,55523,12.6
"Moore County, North Carolina",37,125,100759,99021,9380,9.5,77981,5.8
"Nash County, North Carolina",37,127,95015,92984,13523,14.5,56770,10.5
"New Hanover County, North Carolina",37,129,228134,221999,28197,12.7,67515,7.2
"Northampton County, North Carolina",37,131,17528,16769,3132,18.7,45698,13.6
"Onslow County, North Carolina",37,133,203686,182853,23314,12.8,59976,11.0
"Orange County, North Carolina",37,135,145919,134428,16503,12.3,85785,5.2
"Pamlico County, North Carolina",37,137,12317,11488,1588,13.8,55867,9.2
"Pasquotank County, North Carolina",37,139,40454,37690,4370,11.6,61411,8.4
"Pender County, North Carolina",37,141,61592,60252,7050,11.7,74538,7.8
"Perquimans County, North Carolina",37,143,13053,12947,1724,13.3,59401,11.3
"Person County, North Carolina",37,145,39131,38726,6665,17.2,60688,12.6
"Pitt County, North Carolina",37,147,171196,164618,32978,20.0,54915,11.9
"Polk County, North Carolina",37,149,19538,19227,2116,11.0,60465,7.6
"Randolph County, North Carolina",37,151,144403,142629,21016,14.7,56423,11.4
"Richmond County, North Carolina",37,153,43149,41855,9631,23.0,42354,19.0
"Robeson County, North Carolina",37,155,117573,114042,30923,27.1,39393,20.6
"Rockingham County, North Carolina",37,157,91209,89294,16806,18.8,50737,14.9
"Rowan County, North Carolina",37,159,147067,142790,23443,16.4,59717,12.4
"Rutherford County, North Carolina",37,161,64680,63423,11655,18.4,50512,12.8
"Sampson County, North Carolina",37,163,59317,58195,12959,22.3,49963,14.7
"Scotland County, North Carolina",37,165,34222,31986,8360,26.1,41948,21.5
"Stanly County, North Carolina",37,167,62723,60758,8369,13.8,60634,9.2
"Stokes County, North Carolina",37,169,44696,43968,5281,12.0,57539,9.8
"Surry County, North Carolina",37,171,71429,70302,12615,17.9,52743,13.6
"Swain County, North Carolina",37,173,14130,13871,2747,19.8,52818,14.4
"Transylvania County, North Carolina",37,175,33131,32163,4305,13.4,62056,7.9
"Tyrrell County, North Carolina",37,177,3389,2690,430,16.0,55341,11.0
"Union County, North Carolina",37,179,240109,237005,16125,6.8,95533,5.0
"Vance County, North Carolina",37,181,42492,41977,7862,18.7,48340,14.2
"Wake County, North Carolina",37,183,1132103,1110026,90909,8.2,96734,5.0
"Warren County, North Carolina",37,185,18803,17986,3819,21.2,42282,16.6
"Washington County, North Carolina",37,187,11051,10892,2354,21.6,38927,17.8
"Watauga County, North Carolina",37,189,54540,48908,12190,24.9,50034,7.0
"Wayne County, North Carolina",37,191,117480,114736,20581,17.9,54323,13.3
