county_name,county,total_population,poverty_rate,median_income,snap_percent,health_insurance_percent,uninsured_percent,percent_bachelors_or_higher,unemployment_rate
"Alamance County, North Carolina",001,171779,14.2,60866,10.5,90.3,9.700000000000003,27.3,5.0
"Alexander County, North Carolina",003,36505,12.2,62764,8.1,90.9,9.099999999999994,15.3,5.6
"Alleghany County, North Carolina",005,10989,19.5,42115,12.0,86.6,13.400000000000006,20.7,5.3
"Anson County, North Carolina",007,22200,19.3,42000,14.8,87.0,13.0,11.4,6.4
"Ashe County, North Carolina",009,26759,14.1,49176,10.1,89.0,11.0,20.8,5.1
"Avery County, North Carolina",011,17679,11.2,53513,8.2,85.4,14.599999999999994,22.3,5.0
"Beaufort County, North Carolina",013,44711,17.1,56081,12.2,88.7,11.299999999999997,19.5,5.6
"Bertie County, North Carolina",015,17818,21.4,41652,15.4,88.1,11.900000000000006,16.6,6.4
"Bladen County, North Carolina",017,29807,24.4,40476,20.5,90.0,10.0,20.3,5.5
"Brunswick County, North Carolina",019,139721,9.1,71193,5.9,91.2,8.799999999999997,32.4,5.0
"Buncombe County, North Carolina",021,269449,11.2,66531,6.7,88.7,11.299999999999997,43.0,3.6
"Burke County, North Carolina",023,87799,17.0,53732,12.5,89.2,10.799999999999997,19.8,6.0
"Cabarrus County, North Carolina",025,226396,8.4,83828,6.1,92.0,8.0,36.5,4.9
"Caldwell County, North Carolina",027,80716,13.3,52362,10.6,88.7,11.299999999999997,17.2,5.8
"Camden County, North Carolina",029,10547,5.9,79120,5.8,96.3,3.700000000000003,24.3,5.7
"Carteret County, North Carolina",031,68353,9.7,66965,6.2,89.9,10.099999999999994,31.9,4.9
"Caswell County, North Carolina",033,22747,15.4,56999,11.7,90.1,9.900000000000006,15.4,6.0
"Catawba County, North Carolina",035,161011,13.0,62070,9.3,88.2,11.799999999999997,24.8,5.1
"Chatham County, North Carolina",037,76754,10.4,84222,8.0,91.2,8.799999999999997,46.5,2.8
"Cherokee County, North Carolina",039,28868,16.7,49254,12.0,83.8,16.200000000000003,23.6,4.9
"Chowan County, North Carolina",041,13835,20.9,51188,17.6,93.4,6.599999999999994,24.2,4.3
"Clay County, North Carolina",043,11186,13.5,57065,7.7,84.7,15.299999999999997,28.8,4.0
"Cleveland County, North Carolina",045,99527,18.4,50723,14.2,88.8,11.200000000000003,19.4,6.4
"Columbus County, North Carolina",047,50827,21.1,43206,18.1,85.8,14.200000000000003,14.5,5.8
"Craven County, North Carolina",049,101098,14.0,61676,10.5,90.8,9.200000000000003,25.7,5.1
"Cumberland County, North Carolina",051,335207,17.6,55551,14.1,89.2,10.799999999999997,26.9,7.9
"Currituck County, North Carolina",053,28616,8.5,82793,6.8,88.8,11.200000000000003,27.1,3.2
"Dare County, North Carolina",055,37160,6.5,79742,3.7,88.4,11.599999999999994,42.5,5.1
"Davidson County, North Carolina",057,169498,13.9,58473,10.8,89.1,10.900000000000006,20.5,4.3
"Davie County, North Carolina",059,43030,11.6,69105,9.5,89.8,10.200000000000003,26.2,4.6
"Duplin County, North Carolina",061,49312,18.5,49376,14.1,85.2,14.799999999999997,15.9,5.4
"Durham County, North Carolina",063,325101,12.3,74927,8.0,88.6,11.400000000000006,51.9,4.3
"Edgecombe County, North Carolina",065,49067,22.0,46370,19.2,88.4,11.599999999999994,17.7,8.6
"Forsyth County, North Carolina",067,383739,15.2,61229,10.3,89.5,10.5,35.3,5.6
"Franklin County, North Carolina",069,69680,9.7,70493,7.1,90.2,9.799999999999997,23.7,5.9
"Gaston County, North Carolina",071,228972,12.4,62628,8.6,89.8,10.200000000000003,25.0,4.9
"Gates County, North Carolina",073,10509,14.3,55750,10.8,92.6,7.400000000000006,8.9,9.3
"Graham County, North Carolina",075,8047,11.3,46010,10.2,82.3,17.700000000000003,13.8,7.7
"Granville County, North Carolina",077,61161,14.4,68079,11.3,89.4,10.599999999999994,23.7,4.7
"Greene County, North Carolina",079,20407,22.6,50320,16.4,83.1,16.900000000000006,11.5,5.5
"Guilford County, North Carolina",081,539557,15.1,62880,10.9,90.8,9.200000000000003,37.9,5.2
"Halifax County, North Carolina",083,48772,23.9,41629,20.3,89.7,10.299999999999997,15.7,9.3
"Harnett County, North Carolina",085,134718,14.4,64992,10.9,89.2,10.799999999999997,22.8,5.3
"Haywood County, North Carolina",087,62152,12.1,56596,9.2,88.8,11.200000000000003,28.7,3.5
"Henderson County, North Carolina",089,116469,11.4,65508,8.6,87.7,12.299999999999997,34.0,3.5
"Hertford County, North Carolina",091,21633,20.3,46196,12.8,89.2,10.799999999999997,16.0,7.2
"Hoke County, North Carolina",093,52612,17.3,57141,12.8,89.0,11.0,20.2,6.4
"Hyde County, North Carolina",095,4636,29.9,43724,25.6,86.2,13.799999999999997,14.2,8.7
"Iredell County, North Carolina",097,187839,9.4,73103,7.6,90.7,9.299999999999997,32.7,4.6
"Jackson County, North Carolina",099,42388,19.3,51482,11.1,84.9,15.099999999999994,29.8,5.9
"Johnston County, North Carolina",101,219042,10.7,75288,7.4,88.8,11.200000000000003,26.2,3.7
"Jones County, North Carolina",103,9263,17.7,53053,14.4,87.5,12.5,15.7,4.8
"Lee County, North Carolina",105,63560,16.0,60941,13.3,86.3,13.700000000000003,21.0,5.2
"Lenoir County, North Carolina",107,55071,22.4,43063,18.9,89.2,10.799999999999997,15.0,7.1
"Lincoln County, North Carolina",109,87933,9.3,75672,7.1,91.5,8.5,26.1,4.4
"McDowell County, North Carolina",111,44629,14.9,53532,9.9,87.4,12.599999999999994,18.0,5.5
"Macon County, North Carolina",113,37088,15.4,51042,9.6,84.5,15.5,24.5,3.5
"Madison County, North Carolina",115,21414,12.5,56664,7.9,91.0,9.0,32.2,1.7
"Martin County, North Carolina",117,21992,20.5,44799,17.0,91.8,8.200000000000003,15.5,9.6
"Mecklenburg County, North Carolina",119,1115403,10.5,79265,7.6,88.5,11.5,47.8,4.5
"Mitchell County, North Carolina",121,14989,13.4,55534,8.1,89.4,10.599999999999994,22.0,6.3
"Montgomery County, North Carolina",123,25839,16.2,55523,12.6,86.1,13.900000000000006,19.7,3.1
"Moore County, North Carolina",125,100759,9.5,77981,5.8,91.7,8.299999999999997,39.9,4.6
"Nash County, North Carolina",127,95015,14.5,56770,10.5,88.4,11.599999999999994,21.9,6.4
"New Hanover County, North Carolina",129,228134,12.7,67515,7.2,89.5,10.5,43.4,4.8
"Northampton County, North Carolina",131,17528,18.7,45698,13.6,88.8,11.200000000000003,17.8,7.6
"Onslow County, North Carolina",133,203686,12.8,59976,11.0,89.7,10.299999999999997,25.7,6.4
"Orange County, North Carolina",135,145919,12.3,85785,5.2,93.7,6.299999999999997,61.7,3.9
"Pamlico County, North Carolina",137,12317,13.8,55867,9.2,90.7,9.299999999999997,24.5,4.6
"Pasquotank County, North Carolina",139,40454,11.6,61411,8.4,89.3,10.700000000000003,26.1,5.8
"Pender County, North Carolina",141,61592,11.7,74538,7.8,90.7,9.299999999999997,28.6,6.4
"Perquimans County, North Carolina",143,13053,13.3,59401,11.3,89.3,10.700000000000003,19.6,5.0
"Person County, North Carolina",145,39131,17.2,60688,12.6,91.6,8.400000000000006,17.5,3.7
"Pitt County, North Carolina",147,171196,20.0,54915,11.9,89.9,10.099999999999994,33.1,7.5
"Polk County, North Carolina",149,19538,11.0,60465,7.6,90.1,9.900000000000006,33.3,4.3
"Randolph County, North Carolina",151,144403,14.7,56423,11.4,87.1,12.900000000000006,16.8,3.9
"Richmond County, North Carolina",153,43149,23.0,42354,19.0,89.7,10.299999999999997,17.2,9.6
"Robeson County, North Carolina",155,117573,27.1,39393,20.6,85.5,14.5,14.6,6.4
"Rockingham County, North Carolina",157,91209,18.8,50737,14.9,90.0,10.0,15.4,6.5
"Rowan County, North Carolina",159,147067,16.4,59717,12.4,89.2,10.799999999999997,20.6,6.3
"Rutherford County, North Carolina",161,64680,18.4,50512,12.8,88.1,11.900000000000006,19.8,6.0
"Sampson County, North Carolina",163,59317,22.3,49963,14.7,84.2,15.799999999999997,14.9,5.7
"Scotland County, North Carolina",165,34222,26.1,41948,21.5,87.7,12.299999999999997,14.5,10.8
"Stanly County, North Carolina",167,62723,13.8,60634,9.2,88.8,11.200000000000003,18.7,4.3
"Stokes County, North Carolina",169,44696,12.0,57539,9.8,91.4,8.599999999999994,16.1,5.3
"Surry County, North Carolina",171,71429,17.9,52743,13.6,87.4,12.599999999999994,18.2,4.9
"Swain County, North Carolina",173,14130,19.8,52818,14.4,76.0,24.0,21.1,7.5
"Transylvania County, North Carolina",175,33131,13.4,62056,7.9,86.4,13.599999999999994,37.1,4.0
"Tyrrell County, North Carolina",177,3389,16.0,55341,11.0,87.7,12.299999999999997,12.2,3.9
"Union County, North Carolina",179,240109,6.8,95533,5.0,91.2,8.799999999999997,38.4,4.3
"Vance County, North Carolina",181,42492,18.7,48340,14.2,87.5,12.5,17.8,7.0
"Wake County, North Carolina",183,1132103,8.2,96734,5.0,91.7,8.299999999999997,55.7,4.2
"Warren County, North Carolina",185,18803,21.2,42282,16.6,88.8,11.200000000000003,17.3,9.9
"Washington County, North Carolina",187,11051,21.6,38927,17.8,91.3,8.700000000000003,14.1,12.7
"Watauga County, North Carolina",189,54540,24.9,50034,7.0,90.6,9.400000000000006,44.5,9.3
"Wayne County, North Carolina",191,117480,17.9,54323,13.3,87.8,12.200000000000003,20.0,5.0
"Wilkes County, North Carolina",193,66125,17.1,49119,12.5,88.3,11.700000000000003,16.4,6.0
"Wilson County, North Carolina",195,78667,20.4,49827,14.5,88.0,12.0,20.5,6.6
"Yadkin County, North Carolina",197,37280,13.8,57486,8.9,87.8,12.200000000000003,14.1,5.2
"Yancey County, North Carolina",199,18538,15.3,53103,9.0,89.9,10.099999999999994,22.4,7.6
