county,intake,adjusted_intake,adopted_out,returned_to_owner,euthanized,total_operating_expenses,cost_per_animal,adoption_rate,euthanasia_rate
ALAMANCE,6177.0,5735.0,5273.0,442.0,344.0,0,,91.94420226678291,5.9982563208369655
ALEXANDER,555.0,455.0,265.0,100.0,166.0,0,,58.24175824175825,36.48351648351648
ANSON,869.0,825.0,785.0,44.0,5.0,0,,95.15151515151516,0.6060606060606061
ASHE,1044.0,927.0,898.0,117.0,29.0,0,,96.87162891046385,3.128371089536138
BEAUFORT,1653.0,1554.0,1084.0,99.0,439.0,0,,69.75546975546976,28.24967824967825
BERTIE,17.0,11.0,8.0,6.0,3.0,0,,72.72727272727273,27.27272727272727
BLADEN,1577.0,1446.0,1228.0,131.0,197.0,0,,84.92392807745505,13.623789764868603
BRUNSWICK,4495.0,4063.0,1412.0,432.0,1182.0,0,,34.75264582820576,29.091804085650995
BUNCOMBE,4124.0,3507.0,2914.0,617.0,448.0,0,,83.09096093527232,12.77445109780439
BURKE,1941.0,1750.0,1124.0,191.0,446.0,0,,64.22857142857143,25.485714285714284
CABARRUS,3071.0,2459.0,1492.0,612.0,993.0,0,,60.67507116714111,40.382269215128105
CALDWELL,1569.0,1439.0,518.0,130.0,660.0,0,,35.997220291869354,45.865184155663655
CASWELL,885.0,841.0,753.0,44.0,174.0,0,,89.53626634958383,20.689655172413794
CHATHAM,1356.0,1159.0,752.0,197.0,378.0,0,,64.88352027610009,32.614322691975836
CHOWAN,1367.0,1288.0,652.0,79.0,585.0,0,,50.621118012422365,45.41925465838509
CLEVELAND,1143.0,1056.0,897.0,87.0,245.0,0,,84.94318181818183,23.200757575757574
COLUMBUS,2158.0,2080.0,451.0,78.0,1629.0,0,,21.682692307692307,78.3173076923077
CRAVEN,3943.0,3381.0,1900.0,562.0,1453.0,0,,56.19639160011831,42.97545104998521
CUMBERLAND,7002.0,6446.0,3553.0,556.0,1454.0,0,,55.11945392491467,22.556624263108905
CURRITUCK,2326.0,1889.0,1532.0,437.0,286.0,0,,81.1011116993118,15.14028586553732
DAVIDSON,3346.0,2978.0,1339.0,368.0,1639.0,0,,44.96306245802552,55.03693754197448
DAVIE,855.0,733.0,472.0,122.0,311.0,0,,64.39290586630287,42.42837653478854
DURHAM,4586.0,4100.0,2491.0,486.0,1486.0,0,,60.75609756097561,36.24390243902439
EDGECOMBE,1419.0,1303.0,700.0,116.0,593.0,0,,53.72217958557176,45.51036070606293
FORSYTH,2769.0,2267.0,1681.0,502.0,1088.0,0,,74.15086016762241,47.99294221438024
FRANKLIN,2392.0,1636.0,950.0,756.0,697.0,0,,58.06845965770171,42.603911980440095
GASTON,3038.0,2698.0,2311.0,340.0,312.0,0,,85.65604151223128,11.564121571534471
GRANVILLE,2034.0,1850.0,1011.0,184.0,253.0,0,,54.648648648648646,13.675675675675675
GUILFORD,7841.0,7023.0,4292.0,818.0,1185.0,0,,61.113484265983196,16.87313114053823
HARNETT,2641.0,2487.0,1841.0,154.0,612.0,0,,74.0249296340973,24.60796139927624
HAYWOOD,1486.0,1255.0,1124.0,231.0,96.0,0,,89.5617529880478,7.649402390438246
JACKSON,968.0,877.0,220.0,91.0,184.0,0,,25.085518814139114,20.980615735461804
JOHNSTON,4091.0,3659.0,972.0,432.0,2719.0,0,,26.564635146214812,74.3099207433725
LENOIR,1374.0,1292.0,592.0,82.0,381.0,0,,45.82043343653251,29.489164086687307
LINCOLN,1743.0,1564.0,1516.0,179.0,45.0,0,,96.9309462915601,2.877237851662404
MACON,753.0,553.0,162.0,200.0,29.0,0,,29.294755877034355,5.244122965641953
MADISON,585.0,534.0,415.0,51.0,40.0,0,,77.71535580524345,7.490636704119851
MARTIN,414.0,375.0,109.0,39.0,264.0,0,,29.06666666666667,70.39999999999999
MCDOWELL,1047.0,920.0,448.0,127.0,102.0,0,,48.69565217391305,11.08695652173913
MECKLENBURG,8813.0,7486.0,4724.0,1327.0,1462.0,0,,63.10446166176863,19.52978893935346
MONTGOMERY,499.0,451.0,213.0,48.0,63.0,0,,47.22838137472284,13.968957871396896
NASH,2078.0,1893.0,651.0,185.0,1056.0,0,,34.389857369255154,55.78446909667195
NEW HANOVER,1541.0,1165.0,537.0,376.0,296.0,0,,46.09442060085837,25.407725321888414
NORTHAMPTON,538.0,464.0,292.0,74.0,147.0,0,,62.93103448275862,31.68103448275862
ORANGE,2613.0,2327.0,2104.0,286.0,178.0,0,,90.4168457241083,7.649333906317146
PERSON,1447.0,1279.0,391.0,168.0,760.0,0,,30.57075840500391,59.421422986708365
PITT,2014.0,1810.0,955.0,204.0,352.0,0,,52.762430939226526,19.447513812154696
RANDOLPH,3437.0,3037.0,578.0,400.0,1657.0,0,,19.03193941389529,54.5604214685545
ROBESON,6283.0,6058.0,474.0,225.0,3388.0,0,,7.824364476724992,55.92604820072631
ROCKINGHAM,4208.0,3873.0,1820.0,335.0,1830.0,0,,46.99199586883553,47.25019364833463
ROWAN,5279.0,4893.0,3928.0,386.0,364.0,0,,80.27794808910689,7.439198855507868
SAMPSON,2147.0,2034.0,1234.0,113.0,788.0,0,,60.66863323500492,38.74139626352016
SCOTLAND,639.0,609.0,289.0,30.0,298.0,0,,47.454844006568145,48.93267651888342
STOKES,656.0,606.0,458.0,50.0,146.0,0,,75.57755775577559,24.09240924092409
SURRY,2754.0,1820.0,357.0,934.0,1428.0,0,,19.615384615384617,78.46153846153847
TRANSYLVANIA,990.0,659.0,563.0,331.0,55.0,0,,85.43247344461305,8.34597875569044
UNION,3591.0,3276.0,1394.0,315.0,1556.0,0,,42.55189255189255,47.49694749694749
VANCE,1503.0,1409.0,173.0,94.0,281.0,0,,12.278211497515969,19.94322214336409
WAKE,6500.0,5402.0,4662.0,1098.0,722.0,0,,86.3013698630137,13.365420214735282
WARREN,1051.0,979.0,763.0,72.0,224.0,0,,77.93667007150154,22.880490296220636
